epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0114,1.58042,3.04533,1.93483,0.00386,0.8,0.0837,0.02917,1.80275,3.8561,2.65595,1.429e-05,1.429e-05,1.429e-05
2,28.8418,1.54341,3.0226,1.85059,0.00406,0.8,0.06964,0.02692,1.7152,3.8627,2.50775,4.20212e-05,4.20212e-05,4.20212e-05
3,33.9723,1.48375,2.99875,1.82975,0.0051,0.91111,0.0944,0.03896,1.61056,3.84643,2.35299,6.86206e-05,6.86206e-05,6.86206e-05
4,38.9338,1.45328,2.95608,1.75168,0.00622,0.97778,0.1369,0.0702,1.44814,3.76509,2.14602,9.40882e-05,9.40882e-05,9.40882e-05
5,44,1.40858,2.91644,1.73615,0.00793,1,0.21599,0.1008,1.46996,3.67862,2.03537,0.000118424,0.000118424,0.000118424
6,49.0272,1.38968,2.81806,1.67998,0.01008,1,0.29786,0.11634,1.51226,3.62827,1.96494,0.000141628,0.000141628,0.000141628
7,54.1295,1.40621,2.81652,1.68037,0.01072,1,0.29912,0.12432,1.59484,3.67432,2.02282,0.000163701,0.000163701,0.000163701
8,59.2214,1.36402,2.74716,1.62275,0.0104,0.97222,0.27584,0.11619,1.73275,3.72256,2.14619,0.000184641,0.000184641,0.000184641
9,64.4636,1.29404,2.58108,1.61551,0.0127,0.97222,0.33385,0.12659,1.77708,3.72453,2.25214,0.00020445,0.00020445,0.00020445
10,70.7894,1.2512,2.53912,1.57907,0.01235,0.97222,0.36133,0.13509,1.67996,3.77745,2.27651,0.000223127,0.000223127,0.000223127
11,75.6626,1.22629,2.36349,1.53329,0.01702,1,0.4768,0.19256,1.59149,3.70801,2.15385,0.000240672,0.000240672,0.000240672
12,80.9346,1.32198,2.27582,1.57741,0.01703,1,0.55864,0.2114,1.64509,3.71899,2.21651,0.000257086,0.000257086,0.000257086
